Altium Designer Pick and Place Locations
D:\Onedrive\TBZ\TBZ\Projekt Horizon - Dokumente\Projekt\ControllerNew\schematics\v1.0 fertig\PCB Project Outputs\Pick Place\Pick Place for Controller.csv

========================================================================================================================
File Design Information:

Date:       29.01.21
Time:       19:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Comment","Footprint","Rotation"
"C1","50.2000mm","61.9000mm","TopLayer","1uF","CAP_0603i_1608m_-N","180"
"C2","23.2000mm","2.6000mm","TopLayer","100nF","CAP_0402i_1005m_-N","180"
"C3","57.0000mm","46.9000mm","TopLayer","1uF","CAP_0603i_1608m_-N","90"
"C4","99.4000mm","46.5000mm","TopLayer","100nF","CAP_0402i_1005m_-N","90"
"C5","66.6000mm","58.3000mm","TopLayer","10 uF","CAP_0603i_1608m_-N","180"
"C6","103.3000mm","59.5000mm","TopLayer","100nF","CAP_0402i_1005m_-N","180"
"C7","107.5000mm","32.5000mm","TopLayer","100nF","CAP_0402i_1005m_-N","270"
"C8","69.3000mm","14.9000mm","TopLayer","100nF","CAP_0402i_1005m_-N","360"
"C9","77.5000mm","31.8000mm","TopLayer","100nF","CAP_0402i_1005m_-N","135"
"C11","78.4243mm","32.6757mm","TopLayer","100nF","CAP_0402i_1005m_-N","135"
"C12","83.3000mm","19.5000mm","TopLayer","100nF","CAP_0402i_1005m_-N","180"
"C13","83.3000mm","27.2000mm","TopLayer","100nF","CAP_0402i_1005m_-N","180"
"C14","70.3000mm","30.7000mm","TopLayer","100nF","CAP_0402i_1005m_-N","270"
"C15","66.7000mm","17.5000mm","TopLayer","100nF","CAP_0402i_1005m_-N","360"
"C16","59.2000mm","16.6000mm","TopLayer","10 uF","CAP_0603i_1608m_-N","270"
"C17","93.7000mm","30.0000mm","TopLayer","100nF","CAP_0402i_1005m_-N","360"
"C18","63.1000mm","16.5000mm","TopLayer","100nF","CAP_0402i_1005m_-N","90"
"C19","83.3000mm","25.6000mm","TopLayer","100nF","CAP_0402i_1005m_-N","360"
"C20","122.7000mm","3.0000mm","TopLayer","100nF","CAP_0402i_1005m_-N","360"
"C21","125.2000mm","24.6000mm","TopLayer","100nF","CAP_0402i_1005m_-N","360"
"D1","94.1000mm","62.8000mm","TopLayer","Grün","*0603","180"
"D2","94.1000mm","65.2000mm","TopLayer","Orange","*0603","180"
"D3","53.3500mm","38.2000mm","TopLayer","Grün","*0603","180"
"D4","130.2000mm","1.5000mm","TopLayer","Orange","*0603","180"
"D5","119.9000mm","1.5000mm","TopLayer","Grün","*0603","360"
"D6","55.2000mm","3.4000mm","TopLayer","Orange","*0603","180"
"D7","55.2000mm","6.0000mm","TopLayer","Grün","*0603","180"
"D8","55.2000mm","8.5000mm","TopLayer","Grün","*0603","180"
"IC1","101.7000mm","53.2000mm","TopLayer","FT232RL-TUBE","*SSOP28-LD","0"
"J1","63.4798mm","64.8700mm","TopLayer","UJ2-MABH-4-SMT","*CUI_UJ2-MABH-4-SMT_UJ2-MABH-4-SMT(PRIMARY)","180"
"J2","22.4074mm","38.7920mm","TopLayer","Joystick","Joystick","360"
"J3","127.5926mm","39.2080mm","TopLayer","Joystick","Joystick","180"
"L1","61.2000mm","16.5000mm","TopLayer","Inductor","IND_0805I_2013-L","270"
"P1","23.8000mm","12.9000mm","TopLayer","Header 7H","HDR1X7H","90"
"P2","14.8000mm","3.0000mm","BottomLayer","Batterie","MotConnector","0"
"P3","14.8000mm","3.0000mm","TopLayer","ON-OFF","MotConnector","180"
"P4","90.6000mm","7.8000mm","TopLayer","Header 5H","HDR1X5H","360"
"P5","100.9650mm","5.6700mm","TopLayer","Tag-Connect TC2050-IDC-NL-No pin assigned","TAG-CONNECT_TC2050-IDC-NL_10-Pin","270"
"P6","105.3000mm","5.2700mm","TopLayer","Header 2","HDR1X2","90"
"P7","145.1500mm","21.2000mm","TopLayer","Hirose U.FL-R-SMT-1(10)","Hirsoe_U.FL-R-SMT-1(10)","270"
"Q1","43.7000mm","47.9000mm","TopLayer","AO4407A","SOIC127P600X175-8N","270"
"R1","90.6000mm","62.8000mm","TopLayer","1k","RES_0402i_1005m_-N","0"
"R2","90.7000mm","65.2000mm","TopLayer","1k","RES_0402i_1005m_-N","0"
"R3","97.5000mm","46.2000mm","TopLayer","1K","RES_0402i_1005m_-N","270"
"R4","101.2000mm","46.2000mm","TopLayer","1K","RES_0402i_1005m_-N","270"
"R5","50.0000mm","38.2000mm","TopLayer","10K","RES_0402i_1005m_-N","180"
"R6","127.9000mm","24.6000mm","TopLayer","10k","RES_0402i_1005m_-N","360"
"R7","126.7000mm","1.5000mm","TopLayer","330","RES_0402i_1005m_-N","180"
"R8","123.9000mm","1.5000mm","TopLayer","330","RES_0402i_1005m_-N","360"
"R9","96.7000mm","30.0000mm","TopLayer","10k","RES_0402i_1005m_-N","180"
"R10","65.1000mm","9.0000mm","TopLayer","10k","RES_0402i_1005m_-N","270"
"R11","65.1000mm","5.6000mm","TopLayer","10k","RES_0402i_1005m_-N","270"
"R12","65.1000mm","2.3000mm","TopLayer","10k","RES_0402i_1005m_-N","270"
"R13","58.8000mm","3.3000mm","TopLayer","270","RES_0603i_1608m_-N","180"
"R14","58.8000mm","6.0000mm","TopLayer","270","RES_0603i_1608m_-N","360"
"R15","58.8000mm","8.5000mm","TopLayer","270","RES_0603i_1608m_-N","180"
"R16","45.0000mm","58.5000mm","TopLayer","20K","RES_0402i_1005m_-N","360"
"R17","45.0000mm","55.4000mm","TopLayer","20K","RES_0402i_1005m_-N","360"
"R18","45.0000mm","53.9000mm","TopLayer","100K","RES_0402i_1005m_-N","360"
"T1","62.3000mm","2.6000mm","TopLayer","Part Number: MMBT3904-7-F","SOT-23-M","90"
"T2","62.3000mm","6.0000mm","TopLayer","Part Number: MMBT3904-7-F","SOT-23-M","90"
"T3","62.3000mm","9.4000mm","TopLayer","Part Number: MMBT3904-7-F","SOT-23-M","90"
"T4","41.5000mm","58.5000mm","TopLayer","Part Number: MMBT3904-7-F","SOT-23-M","270"
"T5","41.5000mm","54.4000mm","TopLayer","Part Number: MMBT3904-7-F","SOT-23-M","180"
"U1","51.7000mm","56.4000mm","TopLayer","AZ1117EH-3.3TRG1","SOT230P700X180-4N","270"
"U2","51.5000mm","47.8000mm","TopLayer","AZ1117EH-3.3TRG1","SOT230P700X180-4N","0"
"U3","103.4847mm","35.7946mm","TopLayer","BUTTON","RND_210-00206","90"
"U4","75.0000mm","35.0000mm","TopLayer","BMG250","XDCR_BMG250","45"
"U5","95.1148mm","35.8052mm","TopLayer","BUTTON","RND_210-00206","270"
"U6","75.0000mm","22.5000mm","TopLayer","STM32F730R8T6","FP-LQFP64-5W-MFG","90"
"U7","122.2350mm","13.7000mm","TopLayer","RN2483-I/RM095","*MICROCHIP_RN2483-I/RM095","90"
"U8","73.8600mm","33.8169mm","BottomLayer","LoRa Modul","LoRA_-_w/o_holes","90"
